('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         998852 function calls (974113 primitive calls) in 7.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 ssl_.py:225(create_urllib3_context)
      209    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       39    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      215    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       57    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        3    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.030    0.030 connectionpool.py:1(<module>)
       10    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
      271    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
